,BidPrice-I-XCHNG,BidVolume-I-XCHNG,AskPrice-I-XCHNG,AskVolume-I-XCHNG,BidPrice-Z-XCHNG,BidVolume-Z-XCHNG,AskPrice-Z-XCHNG,AskVolume-Z-XCHNG
2018-01-01 00:05:00,129.05,120.0,129.4,120.0,128.70000000000002,40.0,129.75,40.0
2018-01-01 00:10:00,129.15,115.0,129.6,118.0,128.6,36.0,129.8,43.0
2018-01-01 00:15:00,128.95000000000002,121.0,129.35,132.0,128.4,42.0,129.4,40.0
2018-01-01 00:20:00,128.9,128.0,129.25,123.0,128.5,44.0,129.55,37.0
2018-01-01 00:25:00,128.9,127.0,129.25,119.0,128.75,42.0,129.75,35.0
2018-01-01 00:30:00,128.8,139.0,129.15,113.0,128.65,46.0,129.6,40.0
2018-01-01 00:35:00,128.75,142.0,129.1,120.0,128.70000000000002,47.0,129.75,41.0
2018-01-01 00:40:00,128.65,133.0,129.05,118.0,128.8,46.0,129.95000000000002,40.0
2018-01-01 00:45:00,128.75,129.0,129.15,106.0,128.75,40.0,129.8,36.0
2018-01-01 00:50:00,128.85,139.0,129.20000000000002,104.0,128.95000000000002,38.0,129.95000000000002,38.0
2018-01-01 00:55:00,129.0,140.0,129.35,109.0,129.0,37.0,129.95000000000002,43.0
2018-01-01 01:00:00,129.05,150.0,129.4,134.0,129.1,47.0,130.1,50.0
2018-01-01 01:05:00,129.0,149.0,129.35,136.0,129.05,43.0,130.0,57.0
2018-01-01 01:10:00,129.05,147.0,129.4,148.0,128.70000000000002,44.0,129.6,57.0
2018-01-01 01:15:00,129.05,135.0,129.4,145.0,128.75,42.0,129.75,55.0
2018-01-01 01:20:00,129.20000000000002,136.0,129.55,151.0,128.85,41.0,129.85,54.0
2018-01-01 01:25:00,129.15,140.0,129.55,153.0,128.95000000000002,42.0,130.05,57.0
2018-01-01 01:30:00,129.05,137.0,129.45000000000002,153.0,128.75,45.0,129.95000000000002,54.0
2018-01-01 01:35:00,129.05,142.0,129.45000000000002,156.0,128.75,45.0,129.9,55.0
2018-01-01 01:40:00,128.9,150.0,129.35,164.0,128.70000000000002,44.0,129.9,59.0
2018-01-01 01:45:00,128.8,157.0,129.20000000000002,175.0,128.4,49.0,129.6,60.0
2018-01-01 01:50:00,129.05,149.0,129.45000000000002,170.0,128.6,44.0,129.70000000000002,55.0
2018-01-01 01:55:00,128.95000000000002,160.0,129.35,165.0,128.3,46.0,129.55,56.0
2018-01-01 02:00:00,128.9,152.0,129.35,174.0,128.3,48.0,129.55,55.0
2018-01-01 02:05:00,128.70000000000002,152.0,129.1,175.0,128.45000000000002,45.0,129.65,57.0
2018-01-01 02:10:00,128.75,174.0,129.15,195.0,128.20000000000002,55.0,129.3,62.0
2018-01-01 02:15:00,128.95000000000002,166.0,129.4,192.0,128.45000000000002,57.0,129.6,54.0
2018-01-01 02:20:00,128.9,167.0,129.25,201.0,128.45000000000002,54.0,129.45000000000002,57.0
2018-01-01 02:25:00,129.0,181.0,129.4,204.0,128.4,59.0,129.5,58.0
2018-01-01 02:30:00,128.9,164.0,129.3,194.0,128.6,47.0,129.70000000000002,60.0
2018-01-01 02:35:00,128.85,151.0,129.25,167.0,128.45000000000002,46.0,129.6,54.0
2018-01-01 02:40:00,129.0,151.0,129.45000000000002,188.0,128.4,49.0,129.70000000000002,56.0
2018-01-01 02:45:00,128.85,165.0,129.3,216.0,128.55,55.0,129.85,62.0
2018-01-01 02:50:00,128.55,151.0,129.0,209.0,128.35,53.0,129.70000000000002,55.0
2018-01-01 02:55:00,128.70000000000002,149.0,129.15,213.0,128.55,56.0,129.9,50.0
2018-01-01 03:00:00,128.70000000000002,145.0,129.1,212.0,128.5,57.0,129.70000000000002,54.0
2018-01-01 03:05:00,128.55,142.0,129.0,188.0,128.35,53.0,129.55,49.0
2018-01-01 03:10:00,128.65,129.0,129.05,171.0,128.55,50.0,129.70000000000002,48.0
2018-01-01 03:15:00,128.85,134.0,129.20000000000002,160.0,128.25,53.0,129.35,45.0
2018-01-01 03:20:00,128.65,137.0,129.0,163.0,128.45000000000002,47.0,129.45000000000002,51.0
2018-01-01 03:25:00,128.6,139.0,129.0,159.0,128.4,46.0,129.4,50.0
2018-01-01 03:30:00,128.70000000000002,130.0,129.05,130.0,128.20000000000002,36.0,129.15,45.0
2018-01-01 03:35:00,128.9,121.0,129.3,126.0,128.45000000000002,33.0,129.55,43.0
2018-01-01 03:40:00,128.9,113.0,129.3,127.0,128.4,36.0,129.5,38.0
2018-01-01 03:45:00,128.85,121.0,129.25,131.0,128.4,40.0,129.5,42.0
2018-01-01 03:50:00,129.0,132.0,129.4,125.0,128.20000000000002,44.0,129.25,43.0
2018-01-01 03:55:00,129.20000000000002,135.0,129.55,133.0,128.4,43.0,129.35,49.0
2018-01-01 04:00:00,129.05,137.0,129.45000000000002,133.0,128.25,44.0,129.3,48.0
2018-01-01 04:05:00,129.1,129.0,129.5,147.0,128.15,42.0,129.3,47.0
2018-01-01 04:10:00,128.85,122.0,129.25,143.0,128.0,37.0,129.20000000000002,49.0
2018-01-01 04:15:00,128.9,135.0,129.35,155.0,128.0,41.0,129.25,52.0
2018-01-01 04:20:00,128.8,127.0,129.20000000000002,129.0,128.05,37.0,129.3,47.0
2018-01-01 04:25:00,129.05,130.0,129.5,141.0,128.05,41.0,129.4,49.0
2018-01-01 04:30:00,129.0,119.0,129.45000000000002,143.0,128.0,41.0,129.3,47.0
2018-01-01 04:35:00,128.8,124.0,129.20000000000002,145.0,128.0,40.0,129.3,47.0
2018-01-01 04:40:00,128.9,106.0,129.3,147.0,128.05,39.0,129.20000000000002,40.0
2018-01-01 04:45:00,128.95000000000002,98.0,129.4,123.0,128.1,36.0,129.3,37.0
2018-01-01 04:50:00,128.95000000000002,107.0,129.35,110.0,128.35,40.0,129.45000000000002,36.0
2018-01-01 04:55:00,128.9,122.0,129.3,122.0,128.20000000000002,45.0,129.3,41.0
2018-01-01 05:00:00,128.9,133.0,129.25,126.0,128.20000000000002,41.0,129.3,46.0
2018-01-01 05:05:00,129.05,140.0,129.4,141.0,128.35,42.0,129.45000000000002,52.0
2018-01-01 05:10:00,129.05,155.0,129.4,143.0,128.3,48.0,129.4,53.0
2018-01-01 05:15:00,129.05,143.0,129.4,131.0,128.4,48.0,129.45000000000002,46.0
2018-01-01 05:20:00,128.95000000000002,155.0,129.3,144.0,128.5,48.0,129.5,53.0
2018-01-01 05:25:00,128.85,142.0,129.20000000000002,126.0,128.3,44.0,129.35,51.0
2018-01-01 05:30:00,128.9,152.0,129.20000000000002,156.0,128.35,46.0,129.3,57.0
2018-01-01 05:35:00,128.6,154.0,128.95000000000002,142.0,128.1,41.0,129.1,58.0
2018-01-01 05:40:00,128.45000000000002,153.0,128.85,147.0,127.85000000000001,43.0,128.9,58.0
2018-01-01 05:45:00,128.6,153.0,129.0,148.0,127.80000000000001,43.0,128.9,57.0
2018-01-01 05:50:00,128.70000000000002,163.0,129.1,147.0,128.15,47.0,129.25,61.0
2018-01-01 05:55:00,128.65,166.0,129.05,151.0,128.0,53.0,129.15,60.0
2018-01-01 06:00:00,128.95000000000002,168.0,129.3,137.0,128.1,50.0,129.15,52.0
2018-01-01 06:05:00,128.85,150.0,129.20000000000002,143.0,127.95,49.0,128.95000000000002,50.0
2018-01-01 06:10:00,128.8,142.0,129.20000000000002,129.0,127.60000000000001,44.0,128.75,44.0
2018-01-01 06:15:00,128.95000000000002,134.0,129.35,142.0,127.85000000000001,49.0,128.9,41.0
2018-01-01 06:20:00,129.05,125.0,129.4,122.0,128.0,43.0,129.05,40.0
2018-01-01 06:25:00,129.0,135.0,129.35,131.0,128.20000000000002,53.0,129.25,39.0
2018-01-01 06:30:00,128.8,145.0,129.15,113.0,128.3,47.0,129.3,40.0
2018-01-01 06:35:00,128.95000000000002,141.0,129.3,115.0,128.45000000000002,47.0,129.55,39.0
2018-01-01 06:40:00,128.95000000000002,138.0,129.35,105.0,128.5,41.0,129.65,39.0
2018-01-01 06:45:00,128.85,141.0,129.20000000000002,112.0,128.45000000000002,45.0,129.5,38.0
2018-01-01 06:50:00,128.8,151.0,129.15,112.0,128.3,42.0,129.3,40.0
2018-01-01 06:55:00,129.0,155.0,129.3,132.0,128.35,47.0,129.3,42.0
2018-01-01 07:00:00,128.8,165.0,129.15,150.0,128.35,56.0,129.3,46.0
